#type Date UTC      F_10_7       F81      KP
#type=R - Real Data;  type=F - Forec
R 2006/05/28     85.000     82.494      2.000
R 2006/05/29     81.000     82.593      2.000
R 2006/05/30     80.000     82.691      3.000
R 2006/05/31     78.000     82.741      3.000
R 2006/06/01     77.000     82.790      4.000
R 2006/06/02     75.000     82.815      4.000
R 2006/06/03     76.000     82.840      3.000
R 2006/06/04     76.000     82.864      3.000
R 2006/06/05     78.000     82.938      3.000
R 2006/06/06     78.000     83.012      2.000
R 2006/06/07     83.000     83.148      4.000
R 2006/06/08     80.000     83.210      3.000
R 2006/06/09     78.000     83.222      3.000
R 2006/06/10     76.000     83.210      3.000
R 2006/06/11     74.000     83.185      2.000
R 2006/06/12     74.000     83.148      2.000
R 2006/06/13     77.000     83.160      2.000
R 2006/06/14     75.000     83.148      3.000
R 2006/06/15     76.000     83.173      3.000
R 2006/06/16     75.000     83.185      3.000
R 2006/06/17     73.000     83.111      3.000
R 2006/06/18     73.000     83.000      3.000
R 2006/06/19     73.000     82.864      2.000
R 2006/06/20     73.000     82.704      2.000
R 2006/06/21     73.000     82.531      2.000
R 2006/06/22     72.000     82.296      2.000
R 2006/06/23     72.000     81.951      2.000
R 2006/06/24     74.000     81.630      2.000
R 2006/06/25     74.000     81.321      2.000
R 2006/06/26     76.000     81.037      2.000
R 2006/06/27     79.000     80.840      3.000
R 2006/06/28     84.000     80.753      4.000
R 2006/06/29     86.000     80.716      3.000
R 2006/06/30     86.000     80.679      3.000
R 2006/07/01     86.000     80.630      3.000
R 2006/07/02     87.000     80.704      2.000
R 2006/07/03     86.000     80.778      4.000
R 2006/07/04     88.000     80.889      4.000
R 2006/07/05     85.000     80.975      4.000
R 2006/07/06     85.000     81.074      3.000
R 2006/07/07     80.000     81.099      3.000
R 2006/07/08     77.000     81.136      2.000
R 2006/07/09     75.000     81.123      2.000
R 2006/07/10     73.000     81.049      2.000
R 2006/07/11     71.000     80.951      3.000
R 2006/07/12     71.000     80.815      5.000
R 2006/07/13     70.000     80.605      3.000
R 2006/07/14     71.000     80.333      3.000
R 2006/07/15     70.000     80.025      3.000
R 2006/07/16     71.000     79.667      2.000
R 2006/07/17     71.000     79.296      2.000
R 2006/07/18     71.000     78.938      2.000
R 2006/07/19     71.000     78.568      2.000
R 2006/07/20     72.000     78.222      2.000
R 2006/07/21     73.000     77.975      2.000
R 2006/07/22     74.000     77.790      2.000
R 2006/07/23     77.000     77.642      2.000
R 2006/07/24     77.000     77.457      2.000
R 2006/07/25     76.000     77.321      3.000
R 2006/07/26     75.000     77.173      3.000
R 2006/07/27     74.000     77.025      3.000
R 2006/07/28     73.000     76.877      3.000
R 2006/07/29     73.000     76.753      2.000
R 2006/07/30     74.000     76.704      3.000
R 2006/07/31     72.000     76.654      3.000
R 2006/08/01     73.000     76.617      3.000
R 2006/08/02     72.000     76.593      3.000
R 2006/08/03     71.000     76.580      3.000
R 2006/08/04     70.000     76.556      2.000
R 2006/08/05     70.000     76.531      2.000
R 2006/08/06     70.000     76.506      3.000
R 2006/08/07     70.000     76.469      3.000
R 2006/08/08     71.000     76.420      3.000
R 2006/08/09     74.000     76.395      3.000
R 2006/08/10     80.000     76.420      3.000
R 2006/08/11     84.000     76.432      3.000
R 2006/08/12     85.000     76.444      2.000
R 2006/08/13     86.000     76.469      2.000
R 2006/08/14     86.000     76.494      2.000
R 2006/08/15     86.000     76.543      2.000
R 2006/08/16     86.000     76.580      2.000
R 2006/08/17     86.000     76.593      2.000
R 2006/08/18     89.000     76.691      2.000
R 2006/08/19     89.000     76.802      2.000
R 2006/08/20     88.000     76.926      2.000
R 2006/08/21     88.000     77.062      2.000
R 2006/08/22     81.000     77.136      2.000
R 2006/08/23     78.000     77.160      3.000
R 2006/08/24     78.000     77.185      3.000
R 2006/08/25     77.000     77.173      3.000
R 2006/08/26     76.000     77.148      3.000
R 2006/08/27     79.000     77.099      3.000
R 2006/08/28     76.000     77.049      3.000
R 2006/08/29     73.000     76.988      3.000
R 2006/08/30     74.000     76.963      3.000
R 2006/08/31     83.000     77.074      2.000
R 2006/09/01     77.000     77.111      2.000
R 2006/09/02     76.000     77.099      3.000
R 2006/09/03     77.000     77.123      4.000
R 2006/09/04     79.000     77.160      3.000
R 2006/09/05     80.000     77.222      3.000
R 2006/09/06     84.000     77.358      3.000
R 2006/09/07     87.000     77.531      2.000
R 2006/09/08     87.000     77.704      2.000
R 2006/09/09     86.000     77.864      2.000
R 2006/09/10     87.000     78.037      2.000
R 2006/09/11     85.000     78.198      2.000
R 2006/09/12     84.000     78.346      2.000
R 2006/09/13     83.000     78.457      2.000
R 2006/09/14     83.000     78.568      2.000
R 2006/09/15     80.000     78.617      2.000
R 2006/09/16     79.000     78.617      3.000
R 2006/09/17     78.000     78.543      3.000
R 2006/09/18     74.000     78.395      3.000
R 2006/09/19     73.000     78.235      3.000
R 2006/09/20     71.000     78.049      3.000
R 2006/09/21     71.000     77.852      2.000
R 2006/09/22     72.000     77.679      2.000
R 2006/09/23     70.000     77.457      3.000
R 2006/09/24     70.000     77.272      3.000
R 2006/09/25     70.000     77.086      3.000
R 2006/09/26     71.000     76.975      3.000
R 2006/09/27     72.000     76.914      3.000
R 2006/09/28     73.000     76.889      3.000
R 2006/09/29     77.000     76.938      3.000
R 2006/09/30     78.000     77.025      3.000
R 2006/10/01     78.000     77.111      4.000
R 2006/10/02     78.000     77.210      3.000
R 2006/10/03     77.000     77.284      3.000
R 2006/10/04     77.000     77.370      3.000
R 2006/10/05     77.000     77.444      2.000
R 2006/10/06     76.000     77.506      2.000
R 2006/10/07     77.000     77.580      2.000
R 2006/10/08     75.000     77.630      2.000
R 2006/10/09     75.000     77.667      2.000
R 2006/10/10     75.000     77.691      2.000
R 2006/10/11     74.000     77.691      2.000
R 2006/10/12     74.000     77.654      2.000
R 2006/10/13     73.000     77.605      2.000
R 2006/10/14     72.000     77.556      3.000
R 2006/10/15     71.000     77.506      4.000
R 2006/10/16     70.000     77.457      3.000
R 2006/10/17     70.000     77.420      2.000
R 2006/10/18     70.000     77.383      2.000
R 2006/10/19     70.000     77.333      3.000
R 2006/10/20     71.000     77.321      4.000
R 2006/10/21     75.000     77.346      3.000
R 2006/10/22     76.000     77.395      3.000
R 2006/10/23     76.000     77.457      2.000
R 2006/10/24     75.000     77.519      2.000
R 2006/10/25     75.000     77.580      2.000
R 2006/10/26     72.000     77.605      2.000
R 2006/10/27     72.000     77.630      3.000
R 2006/10/28     75.000     77.679      4.000
R 2006/10/29     73.000     77.667      3.000
R 2006/10/30     76.000     77.617      2.000
R 2006/10/31     80.000     77.568      2.000
R 2006/11/01     87.000     77.593      2.000
R 2006/11/02     88.000     77.617      2.000
R 2006/11/03     87.000     77.630      3.000
R 2006/11/04     86.000     77.630      3.000
R 2006/11/05     85.000     77.617      2.000
R 2006/11/06     84.000     77.593      2.000
R 2006/11/07     87.000     77.568      2.000
R 2006/11/08     86.000     77.531      2.000
R 2006/11/09     89.000     77.543      4.000
R 2006/11/10     91.000     77.580      3.000
R 2006/11/11     97.000     77.778      3.000
R 2006/11/12     97.000     78.012      3.000
R 2006/11/13     95.000     78.222      3.000
R 2006/11/14     95.000     78.444      2.000
R 2006/11/15     96.000     78.691      2.000
R 2006/11/16     94.000     78.877      3.000
R 2006/11/17     90.000     79.049      3.000
R 2006/11/18     89.000     79.247      3.000
R 2006/11/19     85.000     79.383      2.000
R 2006/11/20     81.000     79.358      2.000
R 2006/11/21     78.000     79.370      2.000
R 2006/11/22     77.000     79.383      2.000
R 2006/11/23     77.000     79.383      3.000
R 2006/11/24     77.000     79.358      4.000
R 2006/11/25     79.000     79.346      3.000
R 2006/11/26     78.000     79.272      3.000
R 2006/11/27     82.000     79.210      2.000
R 2006/11/28     86.000     79.198      2.000
R 2006/11/29     85.000     79.185      2.000
R 2006/11/30     84.000     79.148      2.000
R 2006/12/01     84.000     79.136      2.000
R 2006/12/02     87.000     79.173      2.000
R 2006/12/03     87.000     79.222      2.000
R 2006/12/04     92.000     79.333      2.000
R 2006/12/05    102.000     79.605      2.000
R 2006/12/06    103.000     79.901      3.000
R 2006/12/07     96.000     80.123      6.000
R 2006/12/08     96.000     80.395      4.000
R 2006/12/09     92.000     80.630      3.000
R 2006/12/10     90.000     80.864      3.000
R 2006/12/11     92.000     81.123      2.000
R 2006/12/12    102.000     81.494      2.000
R 2006/12/13     94.000     81.790      3.000
R 2006/12/14     93.000     82.074      3.000
R 2006/12/15     87.000     82.284      2.000
R 2006/12/16     82.000     82.420      2.000
R 2006/12/17     81.000     82.531      2.000
R 2006/12/18     75.000     82.556      2.000
R 2006/12/19     73.000     82.506      2.000
R 2006/12/20     72.000     82.432      4.000
R 2006/12/21     72.000     82.358      5.000
R 2006/12/22     73.000     82.296      4.000
R 2006/12/23     73.000     82.247      3.000
R 2006/12/24     74.000     82.210      3.000
R 2006/12/25     76.000     82.198      2.000
R 2006/12/26     75.000     82.185      2.000
R 2006/12/27     73.000     82.136      3.000
R 2006/12/28     76.000     82.148      2.000
R 2006/12/29     78.000     82.185      2.000
R 2006/12/30     80.000     82.247      2.000
R 2006/12/31     83.000     82.358      2.000
R 2007/01/01     87.000     82.519      2.000
R 2007/01/02     90.000     82.728      5.000
R 2007/01/03     81.000     82.840      5.000
R 2007/01/04     89.000     83.062      3.000
R 2007/01/05     89.000     83.296      3.000
R 2007/01/06     87.000     83.506      3.000
R 2007/01/07     87.000     83.716      3.000
R 2007/01/08     88.000     83.938      3.000
R 2007/01/09     92.000     84.198      3.000
R 2007/01/10     86.000     84.333      3.000
R 2007/01/11     84.000     84.432      2.000
R 2007/01/12     84.000     84.531      2.000
R 2007/01/13     81.000     84.605      2.000
R 2007/01/14     82.000     84.691      3.000
R 2007/01/15     82.000     84.815      3.000
R 2007/01/16     79.000     84.901      3.000
R 2007/01/17     78.000     84.938      3.000
R 2007/01/18     77.000     84.988      3.000
R 2007/01/19     76.000     84.988      3.000
R 2007/01/20     79.000     84.975      3.000
R 2007/01/21     79.000     84.877      2.000
R 2007/01/22     79.000     84.765      2.000
R 2007/01/23     79.000     84.667      2.000
R 2007/01/24     80.000     84.593      2.000
R 2007/01/25     80.000     84.531      2.000
R 2007/01/26     80.000     84.481      2.000
R 2007/01/27     81.000     84.407      2.000
R 2007/01/28     82.000     84.358      2.000
R 2007/01/29     87.000     84.333      4.000
R 2007/01/30     88.000     84.296      5.000
R 2007/01/31     89.000     84.198      3.000
R 2007/02/01     90.000     84.111      3.000
R 2007/02/02     90.000     84.049      2.000
R 2007/02/03     87.000     83.951      2.000
R 2007/02/04     84.000     83.802      2.000
R 2007/02/05     83.000     83.667      2.000
R 2007/02/06     82.000     83.568      3.000
R 2007/02/07     82.000     83.481      2.000
R 2007/02/08     78.000     83.395      2.000
R 2007/02/09     77.000     83.346      2.000
R 2007/02/10     76.000     83.321      2.000
R 2007/02/11     75.000     83.296      4.000
R 2007/02/12     74.000     83.259      4.000
R 2007/02/13     73.000     83.210      5.000
R 2007/02/14     73.000     83.136      3.000
R 2007/02/15     74.000     83.086      3.000
R 2007/02/16     75.000     83.000      2.000
R 2007/02/17     75.000     82.864      2.000
R 2007/02/18     76.000     82.753      2.000
R 2007/02/19     75.000     82.642      2.000
R 2007/02/20     75.000     82.531      2.000
R 2007/02/21     75.000     82.383      2.000
R 2007/02/22     76.000     82.247      2.000
R 2007/02/23     75.000     82.037      2.000
R 2007/02/24     76.000     81.716      2.000
R 2007/02/25     77.000     81.395      5.000
R 2007/02/26     75.000     81.136      3.000
R 2007/02/27     75.000     80.877      3.000
R 2007/02/28     76.000     80.679      3.000
R 2007/03/01     75.000     80.494      3.000
R 2007/03/02     76.000     80.296      2.000
R 2007/03/03     73.000     79.938      2.000
R 2007/03/04     73.000     79.679      2.000
R 2007/03/05     72.000     79.420      2.000
R 2007/03/06     72.000     79.235      3.000
R 2007/03/07     73.000     79.123      3.000
R 2007/03/08     73.000     79.025      2.000
R 2007/03/09     72.000     78.988      2.000
R 2007/03/10     71.000     78.963      2.000
R 2007/03/11     71.000     78.951      3.000
R 2007/03/12     71.000     78.938      4.000
R 2007/03/13     71.000     78.914      3.000
R 2007/03/14     70.000     78.877      3.000
R 2007/03/15     69.000     78.815      3.000
R 2007/03/16     69.000     78.728      3.000
R 2007/03/17     69.000     78.654      2.000
R 2007/03/18     71.000     78.630      2.000
R 2007/03/19     70.000     78.556      2.000
R 2007/03/20     73.000     78.494      2.000
R 2007/03/21     73.000     78.407      2.000
R 2007/03/22     73.000     78.284      2.000
R 2007/03/23     73.000     78.111      3.000
R 2007/03/24     73.000     77.901      3.000
R 2007/03/25     74.000     77.815      2.000
R 2007/03/26     74.000     77.630      3.000
R 2007/03/27     73.000     77.432      3.000
R 2007/03/28     75.000     77.284      3.000
R 2007/03/29     74.000     77.123      2.000
R 2007/03/30     74.000     76.951      2.000
R 2007/03/31     73.000     76.716      2.000
R 2007/04/01     72.000     76.543      3.000
R 2007/04/02     71.000     76.383      5.000
R 2007/04/03     71.000     76.222      4.000
R 2007/04/04     71.000     76.099      3.000
R 2007/04/05     71.000     75.963      2.000
R 2007/04/06     71.000     75.827      2.000
R 2007/04/07     71.000     75.728      2.000
R 2007/04/08     71.000     75.642      3.000
R 2007/04/09     70.000     75.556      5.000
R 2007/04/10     69.000     75.469      3.000
R 2007/04/11     69.000     75.346      3.000
R 2007/04/12     68.000     75.210      3.000
R 2007/04/13     68.000     75.074      2.000
R 2007/04/14     68.000     74.938      2.000
R 2007/04/15     69.000     74.802      2.000
R 2007/04/16     69.000     74.667      2.000
R 2007/04/17     69.000     74.531      2.000
R 2007/04/18     69.000     74.383      2.000
R 2007/04/19     68.000     74.210      3.000
R 2007/04/20     69.000     73.988      5.000
R 2007/04/21     69.000     73.753      4.000
R 2007/04/22     69.000     73.506      3.000
R 2007/04/23     69.000     73.247      3.000
R 2007/04/24     73.000     73.037      3.000
R 2007/04/25     77.000     72.914      2.000
R 2007/04/26     81.000     72.877      2.000
R 2007/04/27     83.000     72.877      2.000
R 2007/04/28     85.000     72.914      5.000
R 2007/04/29     85.000     72.951      4.000
R 2007/04/30     87.000     73.062      3.000
R 2007/05/01     86.000     73.173      2.000
R 2007/05/02     87.000     73.309      2.000
R 2007/05/03     83.000     73.407      2.000
R 2007/05/04     83.000     73.519      2.000
R 2007/05/05     81.000     73.617      2.000
R 2007/05/06     78.000     73.679      3.000
R 2007/05/07     76.000     73.704      3.000
R 2007/05/08     73.000     73.679      2.000
R 2007/05/09     72.000     73.642      3.000
R 2007/05/10     71.000     73.580      2.000
R 2007/05/11     72.000     73.543      2.000
R 2007/05/12     71.000     73.494      2.000
R 2007/05/13     74.000     73.481      2.000
R 2007/05/14     73.000     73.444      2.000
R 2007/05/15     77.000     73.469      2.000
R 2007/05/16     77.000     73.481      2.000
R 2007/05/17     77.000     73.481      2.000
R 2007/05/18     76.000     73.494      2.000
R 2007/05/19     75.000     73.494      3.000
R 2007/05/20     74.000     73.469      4.000
R 2007/05/21     73.000     73.444      3.000
R 2007/05/22     72.000     73.395      2.000
R 2007/05/23     70.000     73.358      2.000
R 2007/05/24     70.000     73.321      4.000
R 2007/05/25     68.000     73.272      6.000
R 2007/05/26     68.000     73.222      5.000
R 2007/05/27     67.000     73.148      4.000
R 2007/05/28     69.000     73.099      3.000
R 2007/05/29     70.000     73.074      2.000
R 2007/05/30     71.000     73.074      2.000
R 2007/05/31     75.000     73.123      2.000
R 2007/06/01     79.000     73.222      2.000
R 2007/06/02     83.000     73.370      2.000
R 2007/06/03     87.000     73.580      4.000
R 2007/06/04     86.000     73.790      4.000
R 2007/06/05     81.000     73.938      2.000
R 2007/06/06     85.000     74.136      2.000
R 2007/06/07     86.000     74.321      2.000
R 2007/06/08     84.000     74.494      2.000
R 2007/06/09     79.000     74.568      2.000
R 2007/06/10     76.000     74.605      2.000
R 2007/06/11     73.000     74.605      2.000
R 2007/06/12     70.000     74.568      2.000
R 2007/06/13     71.000     74.543      2.000
R 2007/06/14     69.000     74.481      4.000
R 2007/06/15     69.000     74.420      3.000
R 2007/06/16     68.000     74.358      2.000
R 2007/06/17     67.000     74.259      2.000
R 2007/06/18     67.000     74.173      3.000
R 2007/06/19     66.000     74.074      5.000
R 2007/06/20     66.000     73.988      3.000
R 2007/06/21     66.000     73.914      5.000
R 2007/06/22     65.000     73.840      4.000
R 2007/06/23     66.000     73.778      3.000
R 2007/06/24     67.000     73.728      2.000
R 2007/06/25     68.000     73.691      2.000
R 2007/06/26     71.000     73.691      2.000
R 2007/06/27     73.000     73.716      2.000
R 2007/06/28     75.000     73.765      2.000
R 2007/06/29     75.000     73.827      3.000
R 2007/06/30     74.000     73.889      3.000
R 2007/07/01     74.000     73.951      3.000
R 2007/07/02     73.000     74.012      2.000
R 2007/07/03     72.000     74.062      2.000
R 2007/07/04     72.000     74.111      2.000
R 2007/07/05     72.000     74.148      2.000
R 2007/07/06     71.000     74.173      2.000
R 2007/07/07     73.000     74.222      2.000
R 2007/07/08     75.000     74.296      2.000
R 2007/07/09     77.000     74.407      2.000
R 2007/07/10     78.000     74.519      2.000
R 2007/07/11     79.000     74.642      4.000
R 2007/07/12     77.000     74.741      3.000
R 2007/07/13     78.000     74.852      2.000
R 2007/07/14     76.000     74.889      2.000
R 2007/07/15     75.000     74.864      3.000
R 2007/07/16     73.000     74.765      3.000
R 2007/07/17     72.000     74.630      3.000
R 2007/07/18     70.000     74.444      2.000
R 2007/07/19     68.000     74.235      3.000
R 2007/07/20     67.000     73.988      4.000
R 2007/07/21     66.000     73.741      4.000
R 2007/07/22     66.000     73.481      3.000
R 2007/07/23     67.000     73.284      2.000
R 2007/07/24     68.000     73.099      2.000
R 2007/07/25     69.000     72.951      2.000
R 2007/07/26     68.000     72.827      4.000
R 2007/07/27     69.000     72.741      2.000
R 2007/07/28     70.000     72.704      2.000
R 2007/07/29     69.000     72.667      2.000
R 2007/07/30     69.000     72.642      3.000
R 2007/07/31     68.000     72.593      4.000
R 2007/08/01     68.000     72.556      3.000
R 2007/08/02     69.000     72.494      2.000
R 2007/08/03     70.000     72.457      2.000
R 2007/08/04     69.000     72.358      2.000
R 2007/08/05     69.000     72.259      2.000
R 2007/08/06     70.000     72.173      2.000
R 2007/08/07     69.000     72.086      5.000
R 2007/08/08     69.000     72.012      3.000
R 2007/08/09     67.000     71.926      3.000
R 2007/08/10     68.000     71.864      5.000
R 2007/08/11     68.000     71.815      4.000
R 2007/08/12     68.000     71.790      2.000
R 2007/08/13     68.000     71.765      2.000
R 2007/08/14     69.000     71.778      2.000
R 2007/08/15     68.000     71.778      2.000
R 2007/08/16     67.000     71.778      4.000
R 2007/08/17     68.000     71.765      4.000
R 2007/08/18     68.000     71.741      2.000
R 2007/08/19     68.000     71.704      2.000
R 2007/08/20     69.000     71.630      2.000
R 2007/08/21     69.000     71.506      2.000
R 2007/08/22     70.000     71.346      3.000
R 2007/08/23     71.000     71.148      2.000
R 2007/08/24     72.000     70.975      2.000
R 2007/08/25     72.000     70.864      4.000
R 2007/08/26     70.000     70.679      3.000
R 2007/08/27     69.000     70.469      2.000
R 2007/08/28     70.000     70.296      4.000
R 2007/08/29     70.000     70.185      3.000
R 2007/08/30     72.000     70.136      2.000
R 2007/08/31     71.000     70.111      2.000
R 2007/09/01     71.000     70.123      2.000
R 2007/09/02     69.000     70.099      4.000
R 2007/09/03     68.000     70.086      5.000
R 2007/09/04     68.000     70.074      3.000
R 2007/09/05     68.000     70.074      2.000
R 2007/09/06     67.000     70.074      4.000
R 2007/09/07     67.000     70.074      3.000
R 2007/09/08     67.000     70.086      2.000
R 2007/09/09     67.000     70.099      2.000
R 2007/09/10     67.000     70.111      2.000
R 2007/09/11     66.000     70.123      3.000
R 2007/09/12     66.000     70.123      2.000
R 2007/09/13     66.000     70.111      2.000
R 2007/09/14     67.000     70.099      3.000
R 2007/09/15     68.000     70.062      2.000
R 2007/09/16     67.000     69.988      2.000
R 2007/09/17     67.000     69.889      2.000
R 2007/09/18     67.000     69.790      2.000
R 2007/09/19     67.000     69.704      2.000
R 2007/09/20     67.000     69.617      3.000
R 2007/09/21     67.000     69.543      3.000
R 2007/09/22     67.000     69.481      3.000
R 2007/09/23     66.000     69.407      4.000
R 2007/09/24     66.000     69.333      3.000
R 2007/09/25     66.000     69.272      3.000
R 2007/09/26     67.000     69.198      2.000
R 2007/09/27     67.000     69.099      3.000
R 2007/09/28     67.000     68.975      4.000
R 2007/09/29     68.000     68.852      5.000
R 2007/09/30     65.000     68.679      3.000
R 2007/10/01     68.000     68.568      2.000
R 2007/10/02     66.000     68.420      3.000
R 2007/10/03     67.000     68.309      4.000
R 2007/10/04     67.000     68.210      3.000
R 2007/10/05     68.000     68.148      2.000
R 2007/10/06     69.000     68.111      2.000
R 2007/10/07     68.000     68.086      2.000
R 2007/10/08     68.000     68.086      2.000
R 2007/10/09     69.000     68.111      2.000
R 2007/10/10     68.000     68.136      2.000
R 2007/10/11     69.000     68.173      2.000
R 2007/10/12     69.000     68.198      2.000
R 2007/10/13     68.000     68.198      2.000
R 2007/10/14     67.000     68.173      2.000
R 2007/10/15     67.000     68.160      2.000
R 2007/10/16     67.000     68.136      2.000
R 2007/10/17     67.000     68.099      3.000
R 2007/10/18     68.000     68.086      3.000
R 2007/10/19     67.000     68.062      3.000
R 2007/10/20     67.000     68.049      4.000
R 2007/10/21     67.000     68.037      3.000
R 2007/10/22     67.000     68.012      2.000
R 2007/10/23     67.000     67.975      2.000
R 2007/10/24     68.000     67.963      4.000
R 2007/10/25     67.000     67.938      5.000
R 2007/10/26     68.000     67.914      5.000
R 2007/10/27     67.000     67.889      3.000
R 2007/10/28     68.000     67.877      3.000
R 2007/10/29     67.000     67.877      3.000
R 2007/10/30     67.000     67.864      4.000
R 2007/10/31     67.000     67.852      3.000
R 2007/11/01     67.000     67.840      2.000
R 2007/11/02     68.000     67.840      2.000
R 2007/11/03     68.000     67.827      2.000
R 2007/11/04     68.000     67.827      2.000
R 2007/11/05     67.000     67.827      2.000
R 2007/11/06     69.000     67.840      2.000
R 2007/11/07     68.000     67.840      2.000
R 2007/11/08     70.000     67.864      3.000
R 2007/11/09     70.000     67.877      2.000
R 2007/11/10     70.000     67.889      2.000
R 2007/11/11     69.000     67.877      2.000
R 2007/11/12     70.000     67.864      2.000
R 2007/11/13     70.000     67.840      2.000
R 2007/11/14     70.000     67.815      4.000
R 2007/11/15     69.000     67.802      4.000
R 2007/11/16     71.000     67.827      3.000
R 2007/11/17     70.000     67.827      2.000
R 2007/11/18     69.000     67.815      2.000
R 2007/11/19     70.000     67.790      3.000
R 2007/11/20     70.000     67.778      3.000
R 2007/11/21     69.000     67.753      5.000
R 2007/11/22     70.000     67.765      4.000
R 2007/11/23     70.000     67.790      3.000
R 2007/11/24     71.000     67.827      3.000
R 2007/11/25     71.000     67.864      4.000
R 2007/11/26     72.000     67.926      3.000
R 2007/11/27     71.000     67.975      2.000
R 2007/11/28     71.000     68.025      2.000
R 2007/11/29     71.000     68.074      2.000
R 2007/11/30     71.000     68.123      2.000
R 2007/12/01     72.000     68.198      2.000
R 2007/12/02     73.000     68.284      2.000
R 2007/12/03     73.000     68.370      2.000
R 2007/12/04     74.000     68.457      2.000
R 2007/12/05     75.000     68.543      2.000
R 2007/12/06     78.000     68.679      2.000
R 2007/12/07     82.000     68.864      2.000
R 2007/12/08     87.000     69.111      2.000
R 2007/12/09     89.000     69.383      2.000
R 2007/12/10     87.000     69.630      2.000
R 2007/12/11     93.000     69.951      3.000
R 2007/12/12     94.000     70.284      3.000
R 2007/12/13     94.000     70.630      2.000
R 2007/12/14     92.000     70.951      2.000
R 2007/12/15     89.000     71.235      2.000
R 2007/12/16     82.000     71.420      3.000
R 2007/12/17     80.000     71.580      5.000
R 2007/12/18     77.000     71.704      4.000
R 2007/12/19     75.000     71.790      4.000
R 2007/12/20     73.000     71.889      4.000
R 2007/12/21     71.000     71.926      3.000
R 2007/12/22     72.000     72.000      3.000
R 2007/12/23     71.000     72.049      3.000
R 2007/12/24     71.000     72.099      3.000
R 2007/12/25     72.000     72.148      2.000
R 2007/12/26     73.000     72.198      2.000
R 2007/12/27     72.000     72.247      2.000
R 2007/12/28     72.000     72.296      2.000
R 2007/12/29     73.000     72.346      2.000
R 2007/12/30     75.000     72.432      2.000
R 2007/12/31     77.000     72.531      2.000
R 2008/01/01     79.000     72.654      2.000
R 2008/01/02     80.000     72.802      2.000
R 2008/01/03     79.000     72.951      2.000
R 2008/01/04     79.000     73.099      2.000
R 2008/01/05     80.000     73.259      2.000
R 2008/01/06     79.000     73.407      3.000
R 2008/01/07     78.000     73.531      3.000
R 2008/01/08     76.000     73.642      3.000
R 2008/01/09     77.000     73.765      2.000
R 2008/01/10     76.000     73.877      2.000
R 2008/01/11     76.000     73.988      2.000
R 2008/01/12     76.000     74.099      2.000
R 2008/01/13     75.000     74.185      4.000
R 2008/01/14     75.000     74.284      4.000
R 2008/01/15     74.000     74.358      3.000
R 2008/01/16     73.000     74.432      3.000
R 2008/01/17     74.000     74.506      3.000
R 2008/01/18     71.000     74.556      2.000
R 2008/01/19     71.000     74.605      2.000
R 2008/01/20     70.000     74.642      2.000
R 2008/01/21     72.000     74.704      2.000
R 2008/01/22     70.000     74.728      2.000
R 2008/01/23     71.000     74.765      2.000
R 2008/01/24     71.000     74.802      2.000
R 2008/01/25     71.000     74.852      2.000
R 2008/01/26     73.000     74.901      2.000
R 2008/01/27     72.000     74.951      2.000
R 2008/01/28     71.000     74.963      2.000
R 2008/01/29     72.000     74.988      2.000
R 2008/01/30     73.000     75.025      2.000
R 2008/01/31     72.000     75.062      2.000
R 2008/02/01     71.000     75.074      4.000
R 2008/02/02     71.000     75.086      3.000
R 2008/02/03     71.000     75.099      3.000
R 2008/02/04     71.000     75.123      3.000
R 2008/02/05     71.000     75.123      3.000
R 2008/02/06     72.000     75.148      2.000
R 2008/02/07     71.000     75.173      2.000
R 2008/02/08     71.000     75.185      3.000
R 2008/02/09     72.000     75.210      3.000
R 2008/02/10     73.000     75.259      4.000
R 2008/02/11     72.000     75.284      3.000
R 2008/02/12     72.000     75.309      3.000
R 2008/02/13     71.000     75.309      4.000
R 2008/02/14     71.000     75.309      3.000
R 2008/02/15     70.000     75.284      3.000
R 2008/02/16     70.000     75.272      2.000
R 2008/02/17     71.000     75.272      2.000
R 2008/02/18     71.000     75.272      2.000
R 2008/02/19     72.000     75.284      2.000
R 2008/02/20     71.000     75.272      3.000
R 2008/02/21     72.000     75.259      3.000
R 2008/02/22     72.000     75.247      2.000
R 2008/02/23     72.000     75.222      2.000
R 2008/02/24     71.000     75.173      2.000
R 2008/02/25     71.000     75.086      2.000
R 2008/02/26     71.000     74.951      2.000
R 2008/02/27     71.000     74.753      3.000
R 2008/02/28     70.000     74.519      4.000
R 2008/02/29     70.000     74.309      4.000
R 2008/03/01     69.000     74.012      3.000
R 2008/03/02     69.000     73.704      2.000
R 2008/03/03     68.000     73.383      2.000
R 2008/03/04     68.000     73.086      2.000
R 2008/03/05     69.000     72.840      2.000
R 2008/03/06     70.000     72.691      2.000
R 2008/03/07     71.000     72.580      2.000
R 2008/03/08     70.000     72.494      4.000
R 2008/03/09     70.000     72.432      4.000
R 2008/03/10     70.000     72.395      3.000
R 2008/03/11     70.000     72.383      3.000
R 2008/03/12     69.000     72.346      4.000
R 2008/03/13     70.000     72.333      3.000
R 2008/03/14     70.000     72.321      3.000
R 2008/03/15     70.000     72.296      2.000
R 2008/03/16     70.000     72.259      3.000
R 2008/03/17     70.000     72.235      3.000
R 2008/03/18     70.000     72.210      3.000
R 2008/03/19     69.000     72.160      2.000
R 2008/03/20     68.000     72.074      2.000
R 2008/03/21     68.000     71.963      2.000
