#type Date UTC      F_10_7       F81      KP
#type=R - Real Data;  type=F - Forec
R 2002/10/26    158.000    177.333      3.000
R 2002/10/27    157.000    177.593      3.000
R 2002/10/28    158.000    177.877      3.000
R 2002/10/29    162.000    178.148      3.000
R 2002/10/30    168.000    178.395      3.000
R 2002/10/31    170.000    178.370      3.000
R 2002/11/01    162.000    178.099      3.000
R 2002/11/02    165.000    177.765      3.000
R 2002/11/03    169.000    177.284      3.000
R 2002/11/04    177.000    176.877      3.000
R 2002/11/05    183.000    176.494      3.000
R 2002/11/06    185.000    175.975      3.000
R 2002/11/07    190.000    175.346      3.000
R 2002/11/08    189.000    174.753      3.000
R 2002/11/09    191.000    174.296      3.000
R 2002/11/10    191.000    173.938      3.000
R 2002/11/11    185.000    173.506      3.000
R 2002/11/12    178.000    172.926      3.000
R 2002/11/13    182.000    172.753      4.000
R 2002/11/14    184.000    172.815      3.000
R 2002/11/15    198.000    173.173      3.000
R 2002/11/16    199.000    173.642      3.000
R 2002/11/17    185.000    173.914      3.000
R 2002/11/18    179.000    174.037      3.000
R 2002/11/19    168.000    174.012      3.000
R 2002/11/20    159.000    173.753      3.000
R 2002/11/21    151.000    173.383      3.000
R 2002/11/22    149.000    173.074      3.000
R 2002/11/23    148.000    172.790      4.000
R 2002/11/24    146.000    172.481      3.000
R 2002/11/25    137.000    172.012      3.000
R 2002/11/26    142.000    171.568      3.000
R 2002/11/27    143.000    171.074      4.000
R 2002/11/28    140.000    170.432      3.000
R 2002/11/29    141.000    169.630      3.000
R 2002/11/30    146.000    168.704      3.000
R 2002/12/01    150.000    167.889      3.000
R 2002/12/02    146.000    167.074      3.000
R 2002/12/03    146.000    166.333      3.000
R 2002/12/04    149.000    165.617      3.000
R 2002/12/05    149.000    165.136      3.000
R 2002/12/06    148.000    164.704      3.000
R 2002/12/07    151.000    164.173      3.000
R 2002/12/08    154.000    163.889      3.000
R 2002/12/09    156.000    163.778      3.000
R 2002/12/10    161.000    163.741      3.000
R 2002/12/11    152.000    163.654      3.000
R 2002/12/12    153.000    163.568      3.000
R 2002/12/13    167.000    163.728      3.000
R 2002/12/14    186.000    164.074      3.000
R 2002/12/15    203.000    164.691      3.000
R 2002/12/16    203.000    165.346      3.000
R 2002/12/17    213.000    166.099      3.000
R 2002/12/18    197.000    166.691      4.000
R 2002/12/19    193.000    167.370      4.000
R 2002/12/20    197.000    168.074      3.000
R 2002/12/21    184.000    168.617      3.000
R 2002/12/22    172.000    169.062      3.000
R 2002/12/23    159.000    169.222      3.000
R 2002/12/24    147.000    169.086      3.000
R 2002/12/25    132.000    168.802      3.000
R 2002/12/26    127.000    168.370      3.000
R 2002/12/27    117.000    167.790      3.000
R 2002/12/28    117.000    167.198      5.000
R 2002/12/29    115.000    166.556      3.000
R 2002/12/30    114.000    165.840      3.000
R 2002/12/31    115.000    165.049      3.000
R 2003/01/01    115.000    164.247      3.000
R 2003/01/02    118.000    163.494      3.000
R 2003/01/03    138.000    162.963      3.000
R 2003/01/04    143.000    162.543      3.000
R 2003/01/05    148.000    162.111      3.000
R 2003/01/06    162.000    161.901      3.000
R 2003/01/07    163.000    161.778      3.000
R 2003/01/08    174.000    161.704      3.000
R 2003/01/09    183.000    161.741      3.000
R 2003/01/10    185.000    161.765      3.000
R 2003/01/11    189.000    162.012      3.000
R 2003/01/12    173.000    162.123      3.000
R 2003/01/13    172.000    162.272      3.000
R 2003/01/14    164.000    162.160      3.000
R 2003/01/15    150.000    162.062      3.000
R 2003/01/16    145.000    161.914      3.000
R 2003/01/17    142.000    161.716      3.000
R 2003/01/18    137.000    161.407      3.000
R 2003/01/19    130.000    160.938      3.000
R 2003/01/20    138.000    160.543      3.000
R 2003/01/21    134.000    160.198      3.000
R 2003/01/22    130.000    159.765      3.000
R 2003/01/23    136.000    159.358      5.000
R 2003/01/24    130.000    158.778      4.000
R 2003/01/25    129.000    158.111      3.000
R 2003/01/26    125.000    157.370      3.000
R 2003/01/27    121.000    156.519      3.000
R 2003/01/28    126.000    155.741      3.000
R 2003/01/29    124.000    154.914      3.000
R 2003/01/30    121.000    154.049      3.000
R 2003/01/31    120.000    153.247      3.000
R 2003/02/01    126.000    152.605      3.000
R 2003/02/02    127.000    151.926      3.000
R 2003/02/03    133.000    151.296      3.000
R 2003/02/04    135.000    150.519      3.000
R 2003/02/05    140.000    149.790      3.000
R 2003/02/06    150.000    149.358      3.000
R 2003/02/07    147.000    148.963      3.000
R 2003/02/08    139.000    148.605      3.000
R 2003/02/09    141.000    148.383      3.000
R 2003/02/10    136.000    148.198      3.000
R 2003/02/11    135.000    148.025      3.000
R 2003/02/12    132.000    147.827      3.000
R 2003/02/13    131.000    147.642      3.000
R 2003/02/14    131.000    147.568      3.000
R 2003/02/15    124.000    147.346      3.000
R 2003/02/16    119.000    147.049      3.000
R 2003/02/17    112.000    146.704      3.000
R 2003/02/18    110.000    146.321      3.000
R 2003/02/19    116.000    145.951      4.000
R 2003/02/20    118.000    145.556      3.000
R 2003/02/21    120.000    145.235      3.000
R 2003/02/22    107.000    144.753      3.000
R 2003/02/23    104.000    144.198      3.000
R 2003/02/24    102.000    143.617      3.000
R 2003/02/25    102.000    143.049      3.000
R 2003/02/26    109.000    142.531      3.000
R 2003/02/27    118.000    142.086      3.000
R 2003/02/28    125.000    141.704      3.000
R 2003/03/01    138.000    141.420      3.000
R 2003/03/02    147.000    141.358      3.000
R 2003/03/03    149.000    141.309      3.000
R 2003/03/04    146.000    141.049      3.000
R 2003/03/05    149.000    140.593      3.000
R 2003/03/06    150.000    139.938      3.000
R 2003/03/07    150.000    139.284      3.000
R 2003/03/08    148.000    138.481      3.000
R 2003/03/09    153.000    137.938      3.000
R 2003/03/10    144.000    137.333      3.000
R 2003/03/11    142.000    136.654      3.000
R 2003/03/12    138.000    136.086      3.000
R 2003/03/13    134.000    135.617      3.000
R 2003/03/14    139.000    135.370      3.000
R 2003/03/15    131.000    135.173      3.000
R 2003/03/16    129.000    135.136      3.000
R 2003/03/17    125.000    135.111      3.000
R 2003/03/18    118.000    135.123      3.000
R 2003/03/19    108.000    135.012      5.000
R 2003/03/20     97.000    134.790      5.000
R 2003/03/21     91.000    134.506      3.000
R 2003/03/22     89.000    134.185      3.000
R 2003/03/23     93.000    133.914      3.000
R 2003/03/24     98.000    133.667      3.000
R 2003/03/25    109.000    133.309      3.000
R 2003/03/26    127.000    133.111      4.000
