#ra dec jd x y mag filename
2848.74429 2189.68052 5252.33756 1
 5.91890740582792E+0000  5.28977861468422E-0001  2.45658845991315E+0006  1.97764257812500E+0003  1.21698962402344E+0003  1.22724517508420E+0001 Z:\results!\\J23.03_02_23.22195_proc.fit
 5.92359585527826E+0000  5.32345320118556E-0001  2.45658846000336E+0006  1.97980187988281E+0003  1.21856774902344E+0003  1.23811932969886E+0001 Z:\results!\\J23.03_02_31.22195_proc.fit
 5.92819976868892E+0000  5.35629463032057E-0001  2.45658846009211E+0006  1.98153283691406E+0003  1.21766345214844E+0003  1.24632708682436E+0001 Z:\results!\\J23.03_02_39.22195_proc.fit
 5.93289699673996E+0000  5.38943336751930E-0001  2.45658846018141E+0006  1.98335327148438E+0003  1.21874816894531E+0003  1.27180071574247E+0001 Z:\results!\\J23.03_02_47.22195_proc.fit
 5.93758188251582E+0000  5.42242181435443E-0001  2.45658846027020E+0006  1.98422912597656E+0003  1.22007421875000E+0003  1.20071687117182E+0001 Z:\results!\\J23.03_02_54.22195_proc.fit
 5.94229388484442E+0000  5.45525428100594E-0001  2.45658846035885E+0006  1.98608740234375E+0003  1.21772131347656E+0003  1.20791613170343E+0001 Z:\results!\\J23.03_03_02.22195_proc.fit
 5.94709955632064E+0000  5.48851777132431E-0001  2.45658846044845E+0006  1.98835302734375E+0003  1.21555273437500E+0003  1.23871920617639E+0001 Z:\results!\\J23.03_03_10.22195_proc.fit
 5.95192575853548E+0000  5.52158133583010E-0001  2.45658846053788E+0006  1.99083215332031E+0003  1.21771582031250E+0003  1.22390591412792E+0001 Z:\results!\\J23.03_03_17.22195_proc.fit
 5.95687675580067E+0000  5.55534860390711E-0001  2.45658846062829E+0006  1.99264843750000E+0003  1.22022180175781E+0003  1.23441155274882E+0001 Z:\results!\\J23.03_03_25.22195_proc.fit
 5.96174124646567E+0000  5.58814946910649E-0001  2.45658846071722E+0006  1.99428808593750E+0003  1.22042211914063E+0003  1.22634064306801E+0001 Z:\results!\\J23.03_03_33.22195_proc.fit
 5.96662124416641E+0000  5.62083981392926E-0001  2.45658846080590E+0006  1.99528540039063E+0003  1.21791894531250E+0003  1.23577991324804E+0001 Z:\results!\\J23.03_03_40.22195_proc.fit
 5.97155636567279E+0000  5.65355679205972E-0001  2.45658846089484E+0006  1.99655175781250E+0003  1.21651098632813E+0003  1.24490362020511E+0001 Z:\results!\\J23.03_03_48.22195_proc.fit
